"long"	"lat"	"order"	"hole"	"piece"	"id"	"group"	"cod_dpto"	"dpto"	"mpio"
"183"	-74.27610016	3.91700101	121048	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"184"	-74.28639984	3.90610003	121049	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"185"	-74.30259705	3.89059997	121050	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"186"	-74.31749725	3.88019991	121051	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"187"	-74.32730103	3.86809993	121052	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"188"	-74.32559967	3.85249996	121053	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"189"	-74.32499695	3.83809996	121054	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"190"	-74.32959747	3.82019997	121055	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"191"	-74.33999634	3.80520105	121056	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"192"	-74.3647995	3.77879906	121057	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"193"	-74.38379669	3.76379991	121058	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"194"	-74.38899994	3.75459909	121059	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"195"	-74.39409637	3.74600005	121060	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"196"	-74.40570068	3.73849893	121061	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"197"	-74.41719818	3.72700095	121062	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"198"	-74.42579651	3.71199989	121063	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"199"	-74.43160248	3.69070101	121064	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"200"	-74.43789673	3.67569995	121065	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"201"	-74.44999695	3.66470098	121066	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"202"	-74.48110199	3.65560007	121067	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"203"	-74.49780273	3.65459991	121068	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"204"	-74.51000214	3.66210103	121069	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"205"	-74.51689911	3.66560102	121070	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"206"	-74.5007019	3.68170094	121071	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"207"	-74.49729919	3.68919897	121072	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"208"	-74.48629761	3.69959903	121073	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"209"	-74.48000336	3.70929909	121074	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"210"	-74.47709656	3.72549891	121075	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"211"	-74.47080231	3.74169898	121076	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"212"	-74.46269989	3.75090003	121077	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"213"	-74.44490051	3.77040005	121078	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"214"	-74.43509674	3.7808001	121079	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
